,Symbol,Name,LastSale,Sector,industry
2436,ROP,"Roper Technologies, Inc.",344.13,Capital Goods,Industrial Machinery/Components
2437,RST,Rosetta Stone,20.4,Technology,Computer Software: Prepackaged Software
2438,RY,Royal Bank Of Canada,75.96,Finance,Commercial Banks
2439,RY^T,Royal Bank Of Canada,32.4396,,
2440,RBS,Royal Bank Scotland plc (The),4.89,Finance,Commercial Banks
2441,RCL,Royal Caribbean Cruises Ltd.,107.69,Consumer Services,Marine Transportation
2442,RDS.A,Royal Dutch Shell PLC,,,
2443,RDS.B,Royal Dutch Shell PLC,,,
2444,RGT,"Royce Global Value Trust, Inc.",9.91,,
2445,RMT,"Royce Micro-Cap Trust, Inc.",7.93,,
2446,RVT,"Royce Value Trust, Inc.",13.41,,
2447,RES,"RPC, Inc.",5.72,Energy,Oilfield Services/Equipment
2448,RPM,RPM International Inc.,65.04,Basic Industries,Paints/Coatings
2449,RPT,RPT Realty,12.07,Consumer Services,Real Estate Investment Trusts
2450,RPT^D,RPT Realty,50.77,,
2451,RTW,"RTW Retailwinds, Inc.",1.96,Consumer Services,Clothing/Shoe/Accessory Stores
2452,RTEC,"Rudolph Technologies, Inc.",25.28,Capital Goods,Industrial Machinery/Components
2453,RYB,"RYB Education, Inc.",5.93,Consumer Services,Other Consumer Services
2454,R,"Ryder System, Inc.",48.23,Consumer Services,Rental/Leasing Companies
2455,RYI,Ryerson Holding Corporation,7.39,Basic Industries,Metal Fabrications
2456,RHP,"Ryman Hospitality Properties, Inc.",72.17,Consumer Services,Real Estate Investment Trusts
2457,SPGI,S&P Global Inc.,244.18,Finance,Finance: Consumer Services
2458,SBR,Sabine Royalty Trust,44.56,Energy,Oil & Gas Production
2459,SB,"Safe Bulkers, Inc",1.62,Transportation,Marine Transportation
2460,SB^C,"Safe Bulkers, Inc",21.0,,
2461,SB^D,"Safe Bulkers, Inc",21.3475,,
2462,SFE,"Safeguard Scientifics, Inc.",11.14,Finance,Finance/Investors Services
2463,SAFE,Safehold Inc.,32.58,Consumer Services,Real Estate
2464,SAIL,"SailPoint Technologies Holdings, Inc.",20.03,Technology,Computer Software: Prepackaged Software
2465,CRM,Salesforce.com Inc,142.82,Technology,Computer Software: Prepackaged Software
2466,SMM,Salient Midstream & MLP Fund,7.86,,
2467,SBH,"Sally Beauty Holdings, Inc.",13.32,Consumer Services,Other Specialty Stores
2468,SJT,San Juan Basin Royalty Trust,3.33,Energy,Oil & Gas Production
2469,SD,"SandRidge Energy, Inc.",6.13,Energy,Oil & Gas Production
2470,SDT,SandRidge Mississippian Trust I,0.59,Energy,Oil & Gas Production
